,loss,accuracy,auc_10,val_loss,val_accuracy,val_auc_10
0,0.6200734376907349,0.6625000238418579,0.650992214679718,0.6167439818382263,0.675000011920929,0.7472301125526428
1,0.6438049077987671,0.6520833373069763,0.6393495202064514,0.833056628704071,0.5916666388511658,0.6342340111732483
2,0.5921122431755066,0.6979166865348816,0.7033723592758179,0.5837687253952026,0.7083333134651184,0.7578626275062561
3,0.6413981318473816,0.643750011920929,0.6370199918746948,0.5029825568199158,0.7333333492279053,0.8285714983940125
4,0.5723459720611572,0.7229166626930237,0.7131775617599487,0.7226155400276184,0.675000011920929,0.7848101258277893
5,0.5794006586074829,0.706250011920929,0.7173655033111572,0.7110961675643921,0.6333333253860474,0.7267919778823853
6,0.6156901121139526,0.6520833373069763,0.6589640974998474,0.7489949464797974,0.6416666507720947,0.7819390296936035
7,0.5874115228652954,0.7104166746139526,0.7066690325737,0.7513977289199829,0.6833333373069763,0.6877176761627197
8,0.6000305414199829,0.6625000238418579,0.7061476111412048,0.6885457634925842,0.6833333373069763,0.6887500286102295
9,0.6441100835800171,0.6625000238418579,0.6469117403030396,0.842236340045929,0.625,0.6378607153892517
10,0.5836039185523987,0.7250000238418579,0.7140421271324158,0.687255859375,0.6499999761581421,0.667152464389801
11,0.580718994140625,0.7083333134651184,0.7139931321144104,0.6431356072425842,0.6916666626930237,0.6702685952186584
12,0.5386494994163513,0.7354166507720947,0.7412846088409424,1.1617683172225952,0.6333333253860474,0.7539259195327759
13,0.6157033443450928,0.7020833492279053,0.6554273962974548,0.7793639898300171,0.675000011920929,0.7236689925193787
14,0.6106221675872803,0.6895833611488342,0.6838333606719971,0.608197033405304,0.6833333373069763,0.745185136795044
15,0.5965555906295776,0.6666666865348816,0.6896122694015503,0.5985488891601562,0.7250000238418579,0.769493818283081
16,0.6023935675621033,0.675000011920929,0.6992416977882385,0.5592325925827026,0.7083333134651184,0.7588522434234619
17,0.602313220500946,0.7041666507720947,0.6869423389434814,0.6828572750091553,0.6666666865348816,0.6812201142311096
18,0.5949767827987671,0.6791666746139526,0.7016203999519348,0.8272928595542908,0.6833333373069763,0.6464958190917969
19,0.5891072750091553,0.6937500238418579,0.6914162635803223,0.7159444093704224,0.6916666626930237,0.6942071318626404
